__time,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-11T13:48:00+00:00,21.76,31.1333333333333,437.333333333333,1029.66666666667,0.00502101089021385,1.0
2015-02-11T13:49:00+00:00,21.79,31.0,437.333333333333,1000.0,0.00500858127480172,1.0
2015-02-11T13:50:00+00:00,21.7675,31.1225,434.0,1003.75,0.0050215691326541,1.0
2015-02-11T13:51:00+00:00,21.7675,31.1225,439.0,1009.5,0.0050215691326541,1.0
2015-02-11T13:52:00+00:00,21.79,31.1333333333333,437.333333333333,1005.66666666667,0.00503029777867882,1.0
2015-02-11T13:53:00+00:00,21.76,31.26,437.333333333333,1014.33333333333,0.00504160456530272,1.0
2015-02-11T13:54:00+00:00,21.79,31.1975,434.0,1018.5,0.00504074938235223,1.0
2015-02-11T13:55:00+00:00,21.79,31.3933333333333,437.333333333333,1018.66666666667,0.00507264928829298,1.0
2015-02-11T13:56:00+00:00,21.79,31.3175,434.0,1022.0,0.00506029617368585,1.0
2015-02-11T13:57:00+00:00,21.79,31.4633333333333,437.333333333333,1027.33333333333,0.00508405259531726,1.0
2015-02-11T13:58:00+00:00,21.79,31.525,437.75,1047.75,0.00509409870941305,1.0
2015-02-11T13:59:00+00:00,21.79,31.575,441.75,1049.0,0.00510224444363126,1.0
2015-02-11T14:00:00+00:00,21.79,31.395,442.0,1061.5,0.00507292079078337,1.0
2015-02-11T14:01:00+00:00,21.79,31.3925,441.75,1049.0,0.00507251353713595,1.0
2015-02-11T14:02:00+00:00,21.79,31.5,441.5,1048.0,0.00509002592166009,1.0
2015-02-11T14:03:00+00:00,21.815,31.5,438.0,1049.25,0.00509786935872823,1.0
2015-02-11T14:04:00+00:00,21.815,31.4725,449.5,1051.25,0.0050933823938006,1.0
2015-02-11T14:05:00+00:00,21.89,31.6,449.5,1060.5,0.0051378566839722,1.0
2015-02-11T14:06:00+00:00,21.79,31.55,449.5,1059.5,0.00509817155006976,1.0
2015-02-11T14:07:00+00:00,21.8233333333333,31.73,447.666666666667,1072.0,0.00513803548952273,1.0
2015-02-11T14:08:00+00:00,21.865,31.7225,449.5,1072.33333333333,0.00515000712298489,1.0
2015-02-11T14:09:00+00:00,21.89,31.745,449.5,1075.33333333333,0.00516162793287788,1.0
2015-02-11T14:10:00+00:00,21.89,31.7675,449.5,1087.0,0.00516531673646147,1.0
2015-02-11T14:11:00+00:00,21.89,31.7675,437.75,1083.25,0.00516531673646147,1.0
2015-02-11T14:12:00+00:00,21.89,31.79,442.666666666667,1086.33333333333,0.00516900558343851,1.0
2015-02-11T14:13:00+00:00,21.89,31.79,437.333333333333,1091.0,0.00516900558343851,1.0
2015-02-11T14:14:00+00:00,21.89,31.89,439.0,1100.0,0.00518540098391904,1.0
2015-02-11T14:15:00+00:00,21.89,31.89,444.0,1101.0,0.00518540098391904,1.0
2015-02-11T14:16:00+00:00,21.89,31.865,444.0,1107.0,0.00518130205343558,1.0
2015-02-11T14:17:00+00:00,21.89,31.79,444.0,1110.0,0.00516900558343851,1.0
2015-02-11T14:18:00+00:00,21.89,31.865,444.0,1101.75,0.00518130205343558,1.0
2015-02-11T14:19:00+00:00,21.89,31.73,444.0,1100.0,0.0051591687545959,1.0
2015-02-11T14:20:00+00:00,21.89,31.7225,444.0,1092.75,0.00515793917268696,1.0
2015-02-11T14:21:00+00:00,21.89,31.7,444.0,1092.5,0.00515425045588796,1.0
2015-02-11T14:22:00+00:00,21.89,31.695,436.5,1094.0,0.00515343074693639,1.0
2015-02-11T14:23:00+00:00,21.89,31.5666666666667,434.0,1085.66666666667,0.00513239228379069,1.0
2015-02-11T14:24:00+00:00,21.89,31.55,436.5,1047.0,0.00512966011940923,0.0
2015-02-11T14:25:00+00:00,21.89,31.36,434.0,1031.0,0.00509851512797734,0.0
2015-02-11T14:26:00+00:00,21.89,31.125,432.75,977.5,0.00505999797020354,0.0
2015-02-11T14:27:00+00:00,21.89,31.15,436.5,961.25,0.00506409531527447,1.0
2015-02-11T14:28:00+00:00,21.89,31.0633333333333,434.0,948.0,0.00504989141462838,1.0
2015-02-11T14:29:00+00:00,21.89,30.77,429.0,913.25,0.00500182144829266,1.0
2015-02-11T14:30:00+00:00,21.89,30.7675,432.75,882.5,0.00500141179275406,1.0
2015-02-11T14:31:00+00:00,21.89,30.945,429.0,884.5,0.00503049866628219,1.0
2015-02-11T14:32:00+00:00,21.89,30.7925,429.0,899.0,0.00500550837222886,1.0
2015-02-11T14:33:00+00:00,21.89,30.77,432.75,888.25,0.00500182144829266,1.0
2015-02-11T14:34:00+00:00,21.89,30.795,436.5,878.5,0.00500591803312054,1.0
2015-02-11T14:35:00+00:00,21.89,30.8175,429.0,891.25,0.00500960500523488,1.0
2015-02-11T14:36:00+00:00,21.89,30.65,436.5,896.5,0.0049821585862417,1.0
2015-02-11T14:37:00+00:00,21.89,30.7475,429.0,889.5,0.00499813456771599,1.0
2015-02-11T14:38:00+00:00,21.89,30.7633333333333,429.0,887.333333333333,0.00500072903471261,1.0
2015-02-11T14:39:00+00:00,21.89,30.77,429.0,893.5,0.00500182144829266,1.0
2015-02-11T14:40:00+00:00,21.89,30.445,429.0,832.5,0.00494857071640284,1.0
